station,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,feel,date,time
EGAA,2.0,0.0,86.59,320.0,2.57222,0.0,0.754634,,6.21,,-0.7,20220104,10:20
EGAA,3.0,0.0,80.65,310.0,4.629996,0.0,0.754634,,6.21,,-1.0,20220104,10:50
EGAA,3.0,-1.0,74.98,330.0,4.629996,0.0,0.754634,,6.21,,-1.0,20220104,11:20
EGAA,3.0,-1.0,74.98,320.0,8.231104,0.0,0.755396,,6.21,,-2.5,20220104,11:50
EGAA,1.0,0.0,93.03,330.0,4.115552,0.0,0.755396,,6.21,,-3.2,20220104,12:20
EGAA,2.0,0.0,86.59,320.0,5.14444,0.0,0.754634,,6.21,,-2.5,20220104,12:50
EGAA,3.0,0.0,80.65,340.0,5.14444,0.0,0.754634,,6.21,,-1.3,20220104,13:20
EGAA,2.0,0.0,86.59,320.0,6.173328,0.0,0.754634,,6.21,,-3.0,20220104,13:50
EGAA,3.0,0.0,80.65,310.0,5.14444,0.0,0.754634,,6.21,,-1.3,20220104,14:20
EGAA,3.0,0.0,80.65,350.0,7.202216,0.0,0.755396,,6.21,,-2.2,20220104,15:20
EGAA,2.0,0.0,86.59,360.0,5.6588840000000005,0.0,0.755396,,1.62,,-2.8,20220104,15:50
EGAA,2.0,0.0,86.59,310.0,4.115552,0.0,0.755396,,6.21,,-1.9,20220104,16:20
EGAA,2.0,0.0,86.59,300.0,9.259992,0.0,0.755396,,2.17,,-4.2,20220104,16:50
EGAA,1.0,0.0,93.03,330.0,4.629996,0.0,0.756158,,2.17,,-3.5,20220104,17:20
EGAA,1.0,0.0,93.03,290.0,4.115552,0.0,0.755396,,6.21,,-3.2,20220104,17:50
EGAA,1.0,0.0,93.03,320.0,9.259992,0.0,0.756158,,1.86,14.918876000000001,-5.5,20220104,18:20
EGAA,1.0,0.0,93.03,300.0,5.14444,0.0,0.756158,,6.21,,-3.8,20220104,18:50
EGAA,2.0,0.0,86.59,290.0,5.6588840000000005,0.0,0.756158,,6.21,,-2.8,20220104,19:20
EGAA,2.0,0.0,86.59,290.0,7.202216,0.0,0.756158,,6.21,,-3.4,20220104,19:50
EGAA,2.0,0.0,86.59,300.0,5.14444,0.0,0.756158,,6.21,,-2.5,20220104,20:20
EGAA,1.0,0.0,93.03,320.0,2.57222,0.0,0.756158,,6.21,,-1.9,20220104,20:50
EGAA,2.0,0.0,86.59,290.0,4.629996,0.0,0.756158,,6.21,,-2.2,20220104,21:20
EGAA,2.0,0.0,86.59,290.0,5.14444,0.0,0.75692,,6.21,,-2.5,20220104,21:50
